Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,Adjusted R-Squared,R-Squared,RMSE,Time Taken
MLPRegressor,0.9509854653990266,0.9510263122060877,9.996476859121788,104.56851720809937,0.9509854653990266,0.9510263122060877,9.996476859121788,104.56851720809937
XGBRegressor,0.9338024693660145,0.9338576358137578,11.617305708893113,3.6908249855041504,0.9338024693660145,0.9338576358137578,11.617305708893113,3.6908249855041504
ExtraTreesRegressor,0.9302351003710633,0.9302932397253992,11.926225321603926,96.97986197471619,0.9302351003710633,0.9302932397253992,11.926225321603926,96.97986197471619
RandomForestRegressor,0.9229419991253173,0.9230062162666175,12.534106839187825,113.81341528892517,0.9229419991253173,0.9230062162666175,12.534106839187825,113.81341528892517
BaggingRegressor,0.9228251289399395,0.9228894434763074,12.543608178256749,14.97818374633789,0.9228251289399395,0.9228894434763074,12.543608178256749,14.97818374633789
BayesianRidge,0.9188169667126044,0.9188846214955033,12.865218315928201,0.30562901496887207,0.9188169667126044,0.9188846214955033,12.865218315928201,0.30562901496887207
Ridge,0.9188166637534898,0.9188843187888631,12.86524232113813,0.18544650077819824,0.9188166637534898,0.9188843187888631,12.86524232113813,0.18544650077819824
RidgeCV,0.918816561919468,0.9188842170397058,12.865250390028978,0.3315160274505615,0.918816561919468,0.9188842170397058,12.865250390028978,0.3315160274505615
Lars,0.9188165501612924,0.918884205291329,12.865251321696025,0.3678910732269287,0.9188165501612924,0.918884205291329,12.865251321696025,0.3678910732269287
TransformedTargetRegressor,0.9188165501612829,0.9188842052913195,12.865251321696768,0.17972970008850098,0.9188165501612829,0.9188842052913195,12.865251321696768,0.17972970008850098
LinearRegression,0.9188165501612829,0.9188842052913195,12.865251321696768,0.23795008659362793,0.9188165501612829,0.9188842052913195,12.865251321696768,0.23795008659362793
LassoLarsIC,0.918816047272706,0.9188837028218304,12.865291168352229,0.4012277126312256,0.918816047272706,0.9188837028218304,12.865291168352229,0.4012277126312256
LarsCV,0.9188158306545211,0.9188834863841666,12.865308332176298,1.2911360263824463,0.9188158306545211,0.9188834863841666,12.865308332176298,1.2911360263824463
LassoLarsCV,0.9188158306545211,0.9188834863841666,12.865308332176298,1.2675504684448242,0.9188158306545211,0.9188834863841666,12.865308332176298,1.2675504684448242
LassoCV,0.9187867273858448,0.9188544073690227,12.867614132542643,1.6385431289672852,0.9187867273858448,0.9188544073690227,12.867614132542643,1.6385431289672852
SGDRegressor,0.9165448721210031,0.9166144203791775,13.044007408393988,0.5067968368530273,0.9165448721210031,0.9166144203791775,13.044007408393988,0.5067968368530273
ElasticNetCV,0.9165140558676036,0.9165836298068453,13.046415470951365,1.5701022148132324,0.9165140558676036,0.9165836298068453,13.046415470951365,1.5701022148132324
HuberRegressor,0.9150955922987559,0.9151663483303747,13.156780876011046,1.5117428302764893,0.9150955922987559,0.9151663483303747,13.156780876011046,1.5117428302764893
LinearSVR,0.9134887433905972,0.9135608385076088,13.280695934121024,19.93514060974121,0.9134887433905972,0.9135608385076088,13.280695934121024,19.93514060974121
Lasso,0.902621900523334,0.902703051644602,14.090135526709274,0.31099605560302734,0.902621900523334,0.902703051644602,14.090135526709274,0.31099605560302734
OrthogonalMatchingPursuitCV,0.8992257163823438,0.8993096977514042,14.33373539770437,0.7140612602233887,0.8992257163823438,0.8993096977514042,14.33373539770437,0.7140612602233887
GradientBoostingRegressor,0.898389961962758,0.8984746398170508,14.393049874020923,38.020344972610474,0.898389961962758,0.8984746398170508,14.393049874020923,38.020344972610474
LGBMRegressor,0.8975321326002954,0.8976175253362196,14.453677895821597,0.6907248497009277,0.8975321326002954,0.8976175253362196,14.453677895821597,0.6907248497009277
PassiveAggressiveRegressor,0.881905459165125,0.8820038745630007,15.516702526574775,0.41704607009887695,0.881905459165125,0.8820038745630007,15.516702526574775,0.41704607009887695
ExtraTreeRegressor,0.8751912064043188,0.8752952171993417,15.951705237998851,1.194368839263916,0.8751912064043188,0.8752952171993417,15.951705237998851,1.194368839263916
DecisionTreeRegressor,0.8736637359968645,0.8737690197263248,16.04902073855806,2.366218328475952,0.8736637359968645,0.8737690197263248,16.04902073855806,2.366218328475952
HistGradientBoostingRegressor,0.8711809594228018,0.8712883122017088,16.20595219445921,9.542197704315186,0.8711809594228018,0.8712883122017088,16.20595219445921,9.542197704315186
ElasticNet,0.8699193952676519,0.8700277993850661,16.285113769694235,0.23764681816101074,0.8699193952676519,0.8700277993850661,16.285113769694235,0.23764681816101074
KNeighborsRegressor,0.8694615722849265,0.8695703579342107,16.313746596045924,70.72508692741394,0.8694615722849265,0.8695703579342107,16.313746596045924,70.72508692741394
TweedieRegressor,0.8344301837825832,0.8345681632287458,18.372789812856336,0.20937371253967285,0.8344301837825832,0.8345681632287458,18.372789812856336,0.20937371253967285
OrthogonalMatchingPursuit,0.750143715755731,0.7503519362666182,22.569901402103593,0.20427370071411133,0.750143715755731,0.7503519362666182,22.569901402103593,0.20427370071411133
AdaBoostRegressor,0.7343077892499986,0.7345292068062088,23.274155657364986,9.759994745254517,0.7343077892499986,0.7345292068062088,23.274155657364986,9.759994745254517
NuSVR,0.6680924375721853,0.6683690364275037,26.013159104088256,1394.7964417934418,0.6680924375721853,0.6683690364275037,26.013159104088256,1394.7964417934418
SVR,0.6667353377694034,0.6670130675789225,26.066286005374565,1253.2439477443695,0.6667353377694034,0.6670130675789225,26.066286005374565,1253.2439477443695
LassoLars,-0.0010831443287409037,-0.0002488805663416471,45.177229874936415,0.283402681350708,-0.0010831443287409037,-0.0002488805663416471,45.177229874936415,0.283402681350708
DummyRegressor,-0.0010831443287409037,-0.0002488805663416471,45.177229874936415,0.1479964256286621,-0.0010831443287409037,-0.0002488805663416471,45.177229874936415,0.1479964256286621
RANSACRegressor,-2.147496227331067,-2.1448732263749264,80.10638479185461,0.9359498023986816,-2.147496227331067,-2.1448732263749264,80.10638479185461,0.9359498023986816
