adults_numbers_family,employed_level,value_level_1,value_level_2,value_level_3
1,1,0.19822274881516588,0.5695497630331754,0.23222748815165878
1,2,0.24274605186530096,0.5319790346339626,0.22527491350073653
1,3,0.2488831615120275,0.5166666666666667,0.23445017182130584
1,4,0.2606713634479901,0.45544964774140073,0.2838789888106092
1,5,0.25,0.385,0.365
2,1,0.32688588007736946,0.5099935525467441,0.16312056737588654
2,2,0.35686592211098894,0.463746310977374,0.17938776691163705
2,3,0.35341176470588237,0.4732941176470588,0.17329411764705882
2,4,0.3874066168623266,0.4028815368196371,0.2097118463180363
2,5,0.30606860158311344,0.33509234828496043,0.35883905013192613
3,1,0.31864686468646863,0.5141914191419142,0.16716171617161715
3,2,0.37420621175383906,0.459300311742293,0.16649347650386792
3,3,0.352859778597786,0.4840867158671587,0.16305350553505535
3,4,0.35564435564435565,0.42657342657342656,0.2177822177822178
3,5,0.28451882845188287,0.4393305439330544,0.27615062761506276
4,1,0.2926605504587156,0.5339449541284403,0.17339449541284405
4,2,0.3397778691896339,0.49177293294940355,0.16844919786096257
4,3,0.3665952890792291,0.48008565310492507,0.15331905781584582
4,4,0.3829787234042553,0.4237588652482269,0.19326241134751773
4,5,0.27350427350427353,0.38461538461538464,0.3418803418803419
5,1,0.2810304449648712,0.5310304449648712,0.1879391100702576
5,2,0.33751517604208825,0.4856333468231485,0.17685147713476326
5,3,0.36231884057971014,0.453537936913896,0.18414322250639387
5,4,0.34551495016611294,0.4418604651162791,0.21262458471760798
5,5,0.4666666666666667,0.3111111111111111,0.2222222222222222
6,1,0.2547709923664122,0.5515267175572519,0.19370229007633588
6,2,0.31376518218623484,0.5013495276653172,0.18488529014844804
6,3,0.3323903818953324,0.4766619519094767,0.19094766619519093
6,4,0.35359116022099446,0.47513812154696133,0.1712707182320442
6,5,0.24242424242424243,0.2727272727272727,0.48484848484848486
